journal_name,journal_short,dataverse_alias,dataverse_collection_url
American Political Science Review,APSR,the_review,https://dataverse.harvard.edu/dataverse/the_review
American Journal of Political Science,AJPS,ajps,https://dataverse.harvard.edu/dataverse/ajps
Journal of Politics,JOP,jop,https://dataverse.harvard.edu/dataverse/jop
British Journal of Political Science,BJPS,BJPolS,https://dataverse.harvard.edu/dataverse/BJPolS
Political Science Research and Methods,PSRM,PSRM,https://dataverse.harvard.edu/dataverse/PSRM
World Politics,WP,world-politics,https://dataverse.harvard.edu/dataverse/world-politics
International Organization,IO,IOJ,https://dataverse.harvard.edu/dataverse/IOJ
International Studies Quarterly,ISQ,isq,https://dataverse.harvard.edu/dataverse/isq
Comparative Political Studies,CPS,cps,https://dataverse.harvard.edu/dataverse/cps
Legislative Studies Quarterly,LSQ,lsq,https://dataverse.harvard.edu/dataverse/lsq
Political Behavior,POLB,polbehavior,https://dataverse.harvard.edu/dataverse/polbehavior
Political Analysis,PAN,pan,https://dataverse.harvard.edu/dataverse/pan
Public Opinion Quarterly,POQ,poq,https://dataverse.harvard.edu/dataverse/poq
Journal of Experimental Political Science,JEPS,xps,https://dataverse.harvard.edu/dataverse/xps
PS: Political Science & Politics,PS,ps,https://dataverse.harvard.edu/dataverse/ps
Perspectives on Politics,PoP,perspectives,https://dataverse.harvard.edu/dataverse/perspectives
