tag_category,tag_label,pattern
method,Regression Discontinuity,regression discontinuit|\bRDD\b
method,Difference-in-Differences,difference-in-differences|diff-in-diff
method,Instrumental Variable,instrumental variable
method,Survey Experiment,survey experiment|conjoint experiment|vignette experiment
method,Field Experiment,field experiment|randomized controlled trial|\bRCT\b
method,Panel Data,panel data|fixed effects
method,Formal Model / Game Theory,formal model|game-theoretic|game theory
method,Text as Data / NLP,text as data|natural language processing|topic model|sentiment analysis|word embedding
method,Machine Learning,machine learning|random forest|\bLASSO\b
method,Network Analysis,network analysis|social network
method,Multilevel / Hierarchical Model,multilevel model|hierarchical model|mixed effects
method,Bayesian Methods,\bBayesian\b
method,Meta-Analysis,meta-analysis
method,Case Study / Process Tracing,case study|process tracing
method,Survival / Duration Model,survival analysis|duration model|event history
method,Spatial Analysis,spatial econometrics|spatial model|\bGIS\b
data_type,Survey Data,survey data
data_type,Experimental Data,\bexperiment\b
data_type,Administrative / Government Records,administrative data|government records|\bcensus\b
data_type,Elite / Legislator Data,legislat|\belite\b|congressional|parliament
data_type,Text / Corpus,\bcorpus\b|text data|news articles|speeches
data_type,Cross-National / Country-Level,cross-national|country-level|cross-country
data_type,Elections / Voting,\belection|\bvoting\b|\bvoter
data_type,Public Opinion,public opinion|\battitudes\b
